"","region","avgLength"
"1","010001",1631.27272727273
"2","010003",1582.90909090909
"3","010005",1741.85714285714
"4","01001",2167.90909090909
"5","01003",2285
"6","01005",2480.33333333333
"7","01007",1994.81818181818
"8","01009",2473.83333333333
"9","01011",2146.81818181818
"10","01013",2437.66666666667
"11","01015",2813.15384615385
"12","01017",2354.4
"13","01019",2599.33333333333
"14","01021",2385.38461538462
"15","01023",2002.75
"16","01025",2258
"17","01027",2635.75
"18","01029",2375.18181818182
"19","01031",2494.5
"20","01033",2465.54545454545
"21","01035",2500.8
"22","01037",2118.36363636364
"23","01039",2558.75
"24","01041",2389
"25","01043",2928.11764705882
"26","01045",2508.29411764706
"27","01047",2232.83333333333
"28","01049",2843.66666666667
"29","01051",2072.8
"30","01053",2422.2
"31","01055",2584.26666666667
"32","01057",2038.81818181818
"33","01059",2201.72727272727
"34","01061",2519.75
"35","01063",1905.6
"36","01065",1905.6
"37","01067",2470.125
"38","01069",2425.21428571429
"39","01071",2574.875
"40","01073",2361.7619047619
"41","01075",2242.90909090909
"42","01077",2465.54545454545
"43","01079",2548.92307692308
"44","01081",2029.44444444444
"45","01083",2493.75
"46","01085",2212.63636363636
"47","01087",2259.53846153846
"48","01089",2587.58333333333
"49","01091",1795.55555555556
"50","01093",2644.23076923077
"51","01095",2864.4375
"52","01097",2285
"53","01099",2120.83333333333
"54","011001",1698.53333333333
"55","01101",2173.58333333333
"56","01103",2604.5
"57","01105",1482.33333333333
"58","01107",1752.375
"59","01109",2172.45454545455
"60","01111",2771.92307692308
"61","01113",2749.61538461538
"62","01115",2506.33333333333
"63","01117",2092
"64","01119",1715.6
"65","01121",2255.15384615385
"66","01123",2354.4
"67","01125",2235.4
"68","01127",2257.08333333333
"69","01129",1969.92857142857
"70","01131",1887.3
"71","01133",2614.07692307692
"72","012001",2591
"73","012003",2868.75
"74","012005",3316.625
"75","012007",2438.55555555556
"76","012009",3099.76470588235
"77","012011",3848.70588235294
"78","012013",3472.66666666667
"79","012015",3168.14285714286
"80","012017",3332.8
"81","012019",2794.09090909091
