"","year","region","pctPoverty","medianIncome"
"11",2007,1001,10.4,50375
"36",2007,1003,10.3,49163
"61",2007,1005,26.1,30370
"86",2007,1007,18.2,38907
"111",2007,1009,13.1,43266
"136",2007,1011,34,24969
"161",2007,1013,23.2,30460
"186",2007,1015,17.1,37478
"211",2007,1017,15.6,33904
"236",2007,1019,18.9,37376
"261",2007,1021,16.7,39663
"286",2007,1023,21.8,31508
"311",2007,1025,21.8,32627
"336",2007,1027,15.5,36009
"361",2007,1029,15.4,38918
"386",2007,1031,16.5,36819
"411",2007,1033,16.5,37530
"436",2007,1035,24.7,27555
"461",2007,1037,15.1,34667
"486",2007,1039,19.4,32490
"511",2007,1041,18.3,33156
"536",2007,1043,14.2,39194
"561",2007,1045,16.7,41214
"586",2007,1047,30.2,27647
"611",2007,1049,18.4,35558
"636",2007,1051,11.3,49193
"661",2007,1053,22.4,34615
"686",2007,1055,17.4,35420
"711",2007,1057,17.2,35957
"736",2007,1059,20.1,30765
"761",2007,1061,19.5,33734
"786",2007,1063,31.3,25137
"811",2007,1065,24,31481
"836",2007,1067,17.9,35076
"861",2007,1069,15.7,40461
"886",2007,1071,17.6,36178
"911",2007,1073,15.1,44908
"936",2007,1075,18.5,32893
"961",2007,1077,18.1,37981
"986",2007,1079,15,39248
"1011",2007,1081,17.3,39719
"1036",2007,1083,12.6,46753
"1061",2007,1085,30,28530
"1086",2007,1087,29.6,27011
"1111",2007,1089,11.3,52870
"1136",2007,1091,20,32747
"1161",2007,1093,19.7,32752
"1186",2007,1095,19.6,36931
"1211",2007,1097,20.8,37575
"1236",2007,1099,23.6,32367
"1261",2007,1101,18.1,41199
"1286",2007,1103,14.2,43619
"1311",2007,1105,32.7,24132
"1336",2007,1107,22.2,31497
"1361",2007,1109,27,25817
"1386",2007,1111,20.9,34352
"1411",2007,1113,21.2,33546
"1436",2007,1115,11.6,50046
"1461",2007,1117,6.9,67031
"1486",2007,1119,35,23439
"1511",2007,1121,18,38644
"1536",2007,1123,17.1,35801
"1561",2007,1125,18.6,41543
"1586",2007,1127,19.1,35497
"1611",2007,1129,18.7,35810
"1636",2007,1131,35.7,21325
"1661",2007,1133,16,32986
"1686",2007,2013,16.9,56111
"1711",2007,2016,10.2,61536
"1736",2007,2020,8,67856
"1761",2007,2050,21.4,39519
"1786",2007,2060,8.5,62945
"1811",2007,2068,6.4,64565
"1835",2007,2070,21.5,49319
"1860",2007,2090,7.8,62155
"1885",2007,2100,11.4,47005
"1920",2007,2110,7.1,75302
"1945",2007,2122,10.3,56648
"1970",2007,2130,8.8,57202
"1995",2007,2150,7.5,59010
"2023",2007,2164,18.9,40574
"2048",2007,2170,9.5,64969
"2073",2007,2180,23.1,46942
"2098",2007,2185,13.8,68589
"2123",2007,2188,21.2,50168
"2157",2007,2201,17.9,42798
"2182",2007,2220,8.4,58958
"2208",2007,2232,13.9,44506
"2232",2007,2240,13.5,52330
"2257",2007,2261,9.5,55428
"2279",2007,2270,27.3,30335
"2304",2007,2280,9.9,53048
"2329",2007,2282,15.1,49330
"2353",2007,2290,23.7,32097
"2378",2007,4001,33.4,29976
"2403",2007,4003,16.3,42995
"2428",2007,4005,16.2,48549
"2453",2007,4007,18.2,34761
"2478",2007,4009,22.4,38798
"2503",2007,4011,11.2,50195
"2528",2007,4012,23.8,29912
"2553",2007,4013,12.9,54733
"2578",2007,4015,13.5,39669
"2603",2007,4017,23.4,38871
"2628",2007,4019,14.9,43721
"2653",2007,4021,12.5,49906
"2678",2007,4023,20.1,35661
"2703",2007,4025,12.6,44268
"2728",2007,4027,17.8,39781
"2753",2007,5001,17.9,37344
"2778",2007,5003,20.7,35263
"2803",2007,5005,12.4,35845
"2828",2007,5007,11.3,49064
"2853",2007,5009,16.9,36704
"2878",2007,5011,24.4,30150
"2903",2007,5013,17.7,34847
"2928",2007,5015,17.6,32060
"2953",2007,5017,32.4,24921
"2978",2007,5019,22.3,33887
"3003",2007,5021,18.4,29131
"3028",2007,5023,16.4,37277
"3053",2007,5025,16.4,37648
"3078",2007,5027,23.5,36981
"3103",2007,5029,18.7,36786
"3128",2007,5031,16.3,39808
"3153",2007,5033,18.4,37353
"3178",2007,5035,25.7,35894
"3203",2007,5037,20.7,33176
"3228",2007,5039,21.2,31657
"3253",2007,5041,26.6,28119
"3278",2007,5043,22.6,33810
"3303",2007,5045,14.9,45370
"3328",2007,5047,20,36367
"3353",2007,5049,20.3,30261
"3378",2007,5051,18.1,36299
"3403",2007,5053,10.6,46977
"3428",2007,5055,16.2,37724
"3453",2007,5057,21.5,33686
"3478",2007,5059,14.8,37704
"3503",2007,5061,18.4,32979
"3528",2007,5063,15.1,36984
"3553",2007,5065,21.3,31231
"3578",2007,5067,23.8,29351
"3603",2007,5069,25,36293
"3628",2007,5071,16.5,31586
"3653",2007,5073,24.6,28727
"3678",2007,5075,22.5,31286
"3703",2007,5077,31.8,24195
"3728",2007,5079,26.8,30926
"3753",2007,5081,19.3,33342
"3778",2007,5083,17.6,34261
"3803",2007,5085,11.2,47810
