"","fyDeclared","length","region"
"17413",2002,3864,"072073"
"17416",2002,3864,"072129"
"17418",2002,3864,"072007"
"17424",2002,3864,"072107"
"17425",2002,3864,"072047"
"17426",2002,4312,"028139"
"17427",2002,4312,"028123"
"17428",2002,4312,"028143"
"17429",2002,4312,"028125"
"17432",2002,3864,"072141"
"17433",2002,3864,"072077"
"17434",2002,4312,"028151"
"17435",2002,4312,"028133"
"17436",2002,3864,"072039"
"17438",2002,4312,"028119"
"17439",2002,4312,"028079"
"17441",2002,4312,"028089"
"17442",2002,4312,"028093"
"17444",2002,3864,"072019"
"17446",2002,4312,"028107"
"17447",2002,4312,"028049"
"17449",2002,4312,"028051"
"17450",2002,4312,"028043"
"17453",2002,4312,"028053"
"17456",2002,4312,"028009"
"17457",2002,3120,"066010"
"17458",2002,4312,"028011"
"17461",2002,4312,"028027"
"17463",2002,3864,"072105"
"17464",2002,4312,"028137"
"17466",2002,3864,"072021"
"17468",2002,4312,"028117"
"17469",2002,3864,"072101"
"17471",2002,4312,"028135"
"17472",2002,4312,"028033"
"17474",2002,4312,"028071"
"17476",2002,3864,"072143"
"17477",2002,3119,"01001"
"17478",2002,3119,"01045"
"17479",2002,3119,"01013"
"17480",2002,3119,"01009"
"17481",2002,3119,"01079"
"17482",2002,3119,"01121"
"17483",2002,3119,"01075"
"17484",2002,3119,"01049"
"17485",2002,3119,"01019"
"17486",2002,3119,"01057"
"17487",2002,3119,"01093"
"17488",2002,3119,"01015"
"17489",2002,3119,"01055"
"17490",2002,3119,"01089"
"17491",2002,3119,"01027"
"17492",2002,3119,"01095"
"17493",2002,3119,"01073"
"17494",2002,3884,"05023"
"17495",2002,3884,"05055"
"17496",2002,4259,"040045"
"17497",2002,4259,"040027"
"17498",2002,4259,"040137"
"17499",2002,4259,"040117"
"17500",2002,3119,"01115"
"17501",2002,3884,"05083"
"17502",2002,4259,"040009"
"17503",2002,4259,"040055"
"17504",2002,4259,"040087"
"17505",2002,4259,"040149"
"17506",2002,3884,"05137"
"17507",2002,4259,"040073"
"17508",2002,3884,"05095"
"17509",2002,3884,"05027"
"17510",2002,4259,"040057"
"17511",2002,4259,"040031"
"17512",2002,3884,"05003"
"17513",2002,4259,"040119"
"17514",2002,4259,"040017"
"17515",2002,3884,"05117"
"17516",2002,4259,"040109"
"17517",2002,4259,"040065"
"17518",2002,3884,"05067"
"17519",2002,3119,"01133"
"17520",2002,4259,"040049"
"17521",2002,4259,"040015"
"17522",2002,4259,"040141"
"17523",2002,4259,"040105"
"17524",2002,4259,"040007"
"17525",2002,3884,"05081"
"17526",2002,4259,"040093"
"17527",2002,4259,"040053"
"17528",2002,4259,"040147"
"17529",2002,3884,"05063"
"17530",2002,4259,"040047"
"17531",2002,4259,"040139"
"17532",2002,4259,"040003"
"17533",2002,4259,"040011"
"17534",2002,4259,"040083"
"17535",2002,4259,"040103"
"17536",2002,3884,"05031"
"17537",2002,3884,"05079"
"17538",2002,4259,"040037"
"17539",2002,4259,"040051"
"17540",2002,4259,"040125"
"17541",2002,4259,"040143"
"17542",2002,3884,"05127"
"17543",2002,3884,"05147"
"17544",2002,4259,"040071"
"17545",2002,4259,"040081"
"17546",2002,3884,"05047"
"17547",2002,3884,"05145"
"17548",2002,4259,"040043"
"17549",2002,4259,"040075"
"17550",2002,4259,"040131"
"17551",2002,3884,"05035"
"17552",2002,4259,"040039"
"17553",2002,4259,"040129"
"17554",2002,3884,"05111"
"17555",2002,4259,"040059"
"17556",2002,3884,"05021"
"17557",2002,4259,"040025"
"17558",2002,4259,"040113"
"17559",2002,4259,"040153"
"17560",2002,3255,"020003"
"17561",2002,4259,"040151"
"17562",2002,3255,"020021"
"17563",2002,3255,"020011"
"17564",2002,3255,"020033"
"17565",2002,3255,"020007"
"17566",2002,3255,"020035"
"17567",2002,3255,"020073"
"17568",2002,3255,"020015"
"17569",2002,3255,"020031"
"17570",2002,3255,"020001"
"17571",2002,3255,"020037"
"17572",2002,3255,"020019"
"17573",2002,3255,"020077"
"17574",2002,3255,"020049"
"17575",2002,3255,"020133"
"17576",2002,3255,"020191"
"17577",2002,3292,"029061"
"17578",2002,3292,"029095"
"17579",2002,3255,"020059"
"17580",2002,3292,"029211"
"17581",2002,3292,"029013"
"17582",2002,3255,"020207"
"17583",2002,3292,"029121"
"17584",2002,3292,"029103"
"17585",2002,3255,"020103"
"17586",2002,3292,"029041"
"17587",2002,3292,"029177"
"17588",2002,3255,"020151"
"17589",2002,3292,"029079"
"17590",2002,3160,"036029"
"17591",2002,3255,"020087"
"17592",2002,3292,"029021"
"17593",2002,3255,"020045"
"17594",2002,3292,"029141"
"17595",2002,3292,"029007"
"17596",2002,3255,"020111"
"17597",2002,3292,"029115"
"17598",2002,3292,"029047"
"17599",2002,3255,"020095"
"17600",2002,3292,"029199"
"17601",2002,3292,"029033"
"17602",2002,3292,"029165"
"17603",2002,3292,"029011"
"17604",2002,3255,"020107"
"17605",2002,3292,"029117"
"17606",2002,3292,"029045"
"17607",2002,3255,"020121"
"17608",2002,3292,"029195"
"17609",2002,3292,"029049"
"17610",2002,3255,"020209"
"17611",2002,3292,"029205"
"17612",2002,3292,"029107"
"17613",2002,3292,"029001"
"17614",2002,3255,"020099"
"17615",2002,3292,"029111"
"17616",2002,3292,"029039"
"17617",2002,3255,"020091"
"17618",2002,3292,"029175"
"17619",2002,3292,"029025"
"17620",2002,3292,"029159"
"17621",2002,3255,"020205"
"17622",2002,3255,"020173"
"17623",2002,3255,"020139"
"17624",2002,3292,"029083"
"17625",2002,3292,"029063"
"17626",2002,3010,"041011"
"17627",2002,3292,"029217"
"17628",2002,3292,"029019"
"17629",2002,3292,"029015"
"17630",2002,3292,"029137"
"17631",2002,3292,"029127"
"17632",2002,3255,"020125"
"17633",2002,3292,"029053"
"17634",2002,3292,"029185"
"17635",2002,3292,"029101"
"17636",2002,3255,"020097"
"17637",2002,3292,"029037"
"17638",2002,3292,"029173"
"17639",2002,3255,"020177"
"17640",2002,3292,"029089"
"17641",2002,3010,"041039"
"17642",2002,4402,"021013"
"17643",2002,3003,"051105"
"17644",2002,3003,"051167"
"17645",2002,3003,"051195"
"17646",2002,3003,"051185"
"17647",2002,3010,"041019"
"17648",2002,3003,"051191"
"17649",2002,3003,"051688"
"17650",2002,3010,"041043"
"17651",2002,3010,"041015"
"17652",2002,3003,"051197"
"17653",2002,3003,"051173"
"17654",2002,3003,"051169"
"17655",2002,3003,"051051"
"17656",2002,4402,"021011"
"17657",2002,4402,"021129"
"17658",2002,4402,"021019"
"17659",2002,3064,"047027"
"17660",2002,4402,"021181"
"17661",2002,4402,"021051"
"17662",2002,3064,"047071"
"17663",2002,4402,"021195"
"17664",2002,4402,"021125"
"17665",2002,3064,"047087"
"17666",2002,3064,"047015"
"17667",2002,3064,"047121"
"17668",2002,4402,"021065"
"17669",2002,4402,"021115"
"17670",2002,4402,"021205"
"17671",2002,3064,"047003"
"17672",2002,3064,"047099"
"17673",2002,3064,"047117"
"17674",2002,4402,"021135"
"17675",2002,4402,"021173"
"17676",2002,3064,"047041"
"17677",2002,3064,"047057"
"17678",2002,4402,"021159"
"17679",2002,3064,"047043"
"17680",2002,4402,"021089"
"17681",2002,4402,"021237"
"17682",2002,3064,"047105"
"17683",2002,4402,"021017"
"17684",2002,4402,"021153"
"17685",2002,4402,"021175"
"17686",2002,3064,"047067"
"17687",2002,4402,"021063"
"17688",2002,4402,"021121"
"17689",2002,4402,"021197"
"17690",2002,3064,"047009"
"17691",2002,3064,"047109"
"17692",2002,3064,"047097"
"17693",2002,4402,"021147"
"17694",2002,4402,"021133"
"17695",2002,3064,"047049"
"17696",2002,4402,"021095"
"17697",2002,3064,"047035"
"17698",2002,3064,"047001"
"17699",2002,4402,"021025"
"17700",2002,3064,"047111"
"17701",2002,4402,"021189"
"17702",2002,3064,"047073"
"17703",2002,3064,"047039"
"17704",2002,4402,"021165"
"17705",2002,4402,"021071"
"17706",2002,3064,"047055"
"17707",2002,4402,"021069"
"17708",2002,4402,"021235"
"17709",2002,4402,"021231"
"17710",2002,3064,"047103"
"17711",2002,3064,"047101"
"17712",2002,4402,"021131"
"17713",2002,3064,"047029"
"17714",2002,4402,"021127"
"17715",2002,3064,"047025"
"17716",2002,4402,"021043"
"17717",2002,4402,"021193"
"17718",2002,3064,"047075"
"17719",2002,4402,"021119"
"17720",2002,3064,"047007"
"17721",2002,3064,"047119"
"17722",2002,3064,"047133"
"17723",2002,3064,"047177"
"17724",2002,3085,"054081"
"17725",2002,3085,"054045"
"17726",2002,3085,"054039"
"17727",2002,3064,"047181"
"17728",2002,3085,"054089"
"17729",2002,3064,"047151"
"17730",2002,3064,"047155"
"17731",2002,3064,"047145"
"17732",2002,2947,"024017"
"17733",2002,3085,"054055"
"17734",2002,3064,"047175"
"17735",2002,2947,"024009"
"17736",2002,3085,"054059"
"17737",2002,2947,"024019"
"17738",2002,2971,"051185"
"17739",2002,2971,"051143"
"17740",2002,3172,"029079"
"17741",2002,3172,"029063"
"17742",2002,2971,"051027"
"17743",2002,3172,"029119"
"17744",2002,3172,"029031"
"17745",2002,3172,"029043"
"17746",2002,3172,"029105"
"17747",2002,3172,"029115"
"17748",2002,3172,"029017"
"17749",2002,2971,"051031"
"17750",2002,3172,"029097"
"17751",2002,3172,"029045"
"17752",2002,2971,"051083"
"17753",2002,3172,"029117"
"17754",2002,3172,"029059"
"17755",2002,3172,"029011"
"17756",2002,3172,"029127"
"17757",2002,3172,"029093"
"17758",2002,3172,"029033"
"17759",2002,3172,"029107"
"17760",2002,2971,"051171"
"17761",2002,3172,"029077"
"17762",2002,2971,"051147"
"17763",2002,3085,"054047"
"17764",2002,3172,"029065"
"17765",2002,3172,"029019"
"17766",2002,3172,"029129"
"17767",2002,3172,"029099"
"17768",2002,3172,"029023"
"17769",2002,2971,"051808"
